Рейтинговый','Нильфгаард','Xorkilicious','Скоя’таэли','Победа','2:1
Рейтинговый','Нильфгаард','mabokk','Королевства Севера','Поражение','1:2
Обычный','Нильфгаард','DenixOnly','Королевства Севера','Победа','2:1
Обычный','Нильфгаард','creater337','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','ARQDOS','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','killer87rc','Чудовища','Победа','2:0
Обычный','Нильфгаард','Sodom2076','Чудовища','Победа','2:1
Обычный','Нильфгаард','EreaQwenblied','Скоя’таэли','Победа','2:1
Обычный','Нильфгаард','swooffy','Чудовища','Победа','2:0
Обычный','Нильфгаард','Xuylo','Чудовища','Победа','2:0
Обычный','Скоя’таэли','Kamilk4333','Синдикат','Победа','2:1
Обычный','Скоя’таэли','Januszym','Скеллиге','Победа','2:0
Обычный','Скоя’таэли','Cristian_Carrasco_','Скоя’таэли','Поражение','1:2
Обычный','Скоя’таэли','tonybanderass','Чудовища','Победа','2:0
Рейтинговый','Чудовища','Irmuli','Скоя’таэли','Победа','2:1
Рейтинговый','Чудовища','Metboi98','Нильфгаард','Поражение','1:2
